# g/gamma_t, ISE, max_diff, coherence_max, gamma1_L, gamma1_S, gamma2_L, gamma2_S
1.000000e-02,2.511051e-07,4.607018e-05,3.678537e-03,1.000203e-02,1.000437e-02,1.000196e-02,1.000029e-02
1.215109e-02,5.460643e-07,6.803547e-05,4.469683e-03,1.000294e-02,1.000645e-02,1.000293e-02,1.000044e-02
1.476491e-02,1.188406e-06,1.004610e-04,5.430900e-03,1.000434e-02,1.000951e-02,1.000433e-02,1.000066e-02
1.794098e-02,2.588840e-06,1.483232e-04,6.598680e-03,1.000640e-02,1.001403e-02,1.000640e-02,1.000097e-02
2.180025e-02,5.636943e-06,2.189612e-04,8.017297e-03,1.000946e-02,1.002072e-02,1.000945e-02,1.000144e-02
2.648969e-02,1.225105e-05,3.231855e-04,9.740403e-03,1.001394e-02,1.003058e-02,1.001393e-02,1.000212e-02
3.218788e-02,2.667182e-05,4.769520e-04,1.183301e-02,1.002058e-02,1.004514e-02,1.002056e-02,1.000312e-02
3.911179e-02,5.800930e-05,7.036832e-04,1.437366e-02,1.003037e-02,1.006664e-02,1.003034e-02,1.000458e-02
4.752510e-02,1.260165e-04,1.037795e-03,1.745707e-02,1.004480e-02,1.009831e-02,1.004477e-02,1.000669e-02
5.774820e-02,2.732983e-04,1.529685e-03,2.119713e-02,1.006604e-02,1.014506e-02,1.006590e-02,1.000975e-02
7.017038e-02,5.911422e-04,2.252872e-03,2.573002e-02,1.009728e-02,1.021398e-02,1.009712e-02,1.001412e-02
8.526469e-02,1.274067e-03,3.313960e-03,3.121671e-02,1.014307e-02,1.031614e-02,1.014293e-02,1.002074e-02
1.036059e-01,2.731466e-03,4.866370e-03,3.784562e-02,1.021034e-02,1.046690e-02,1.021008e-02,1.003014e-02
1.258925e-01,5.811454e-03,7.128282e-03,4.583537e-02,1.030802e-02,1.068875e-02,1.030766e-02,1.004290e-02
1.529732e-01,1.222939e-02,1.040363e-02,5.542777e-02,1.045018e-02,1.101401e-02,1.045015e-02,1.005903e-02
1.858792e-01,2.534231e-02,1.510590e-02,6.688342e-02,1.065473e-02,1.138204e-02,1.065446e-02,1.000000e-02
2.258636e-01,5.141097e-02,2.177492e-02,8.046478e-02,1.094590e-02,1.204249e-02,1.094587e-02,1.000145e-02
2.744489e-01,1.013616e-01,3.107989e-02,9.640192e-02,1.135522e-02,1.301292e-02,1.135516e-02,1.000002e-02
3.334855e-01,1.925863e-01,4.377994e-02,1.148560e-01,1.191648e-02,1.444850e-02,1.191583e-02,1.000000e-02
4.052213e-01,3.494655e-01,6.062568e-02,1.358578e-01,1.268416e-02,1.656817e-02,1.268416e-02,1.000000e-02
4.923883e-01,6.004478e-01,8.220928e-02,1.592625e-01,1.369179e-02,1.969785e-02,1.369177e-02,1.000000e-02
5.983056e-01,9.700684e-01,1.087426e-01,1.847156e-01,1.497626e-02,2.431878e-02,1.497602e-02,1.000000e-02
7.270068e-01,1.467168e+00,1.399490e-01,2.116522e-01,1.659053e-02,3.114155e-02,1.658901e-02,1.000000e-02
8.833928e-01,2.074836e+00,1.749050e-01,2.393869e-01,1.856779e-02,4.121531e-02,1.856683e-02,1.000000e-02
1.073419e+00,2.749478e+00,2.121901e-01,2.671432e-01,2.089376e-02,5.608912e-02,2.089237e-02,1.000000e-02
1.304321e+00,3.431926e+00,2.502416e-01,2.941895e-01,2.352404e-02,7.805017e-02,2.351813e-02,1.000000e-02
1.584893e+00,4.065687e+00,2.872844e-01,3.199016e-01,3.246170e-02,1.104755e-01,5.091821e-03,1.000000e-02
1.925819e+00,4.611818e+00,3.221654e-01,3.438136e-01,4.058166e-02,1.583511e-01,5.224297e-03,1.000000e-02
2.340080e+00,5.054095e+00,3.534011e-01,3.656342e-01,5.166821e-02,2.290390e-01,5.558616e-03,1.000000e-02
2.843454e+00,5.395167e+00,3.812963e-01,3.850632e-01,6.576154e-02,3.334091e-01,6.117977e-03,1.000000e-02
3.455107e+00,5.648388e+00,4.041221e-01,4.023755e-01,8.348210e-02,4.875107e-01,6.632767e-03,1.000000e-02
4.198333e+00,5.831005e+00,4.249359e-01,4.175228e-01,1.055706e-01,7.150401e-01,7.087793e-03,1.000000e-02
5.101434e+00,5.959245e+00,4.413176e-01,4.303136e-01,1.328796e-01,1.050985e+00,7.491271e-03,1.000000e-02
6.198801e+00,6.046028e+00,4.524891e-01,4.419315e-01,1.663715e-01,1.547005e+00,7.850203e-03,1.000000e-02
7.532221e+00,6.099806e+00,4.627484e-01,4.514794e-01,2.071270e-01,2.279374e+00,8.167057e-03,1.000000e-02
9.152473e+00,6.126631e+00,4.694454e-01,4.589908e-01,2.565448e-01,3.076759e+01,8.445093e-03,1.001952e-02
1.112126e+01,6.134358e+00,4.792995e-01,4.661228e-01,3.161712e-01,3.035355e+01,8.687288e-03,1.000575e-02
1.351354e+01,6.133336e+00,4.766743e-01,4.701888e-01,3.879777e-01,2.434081e+01,8.897224e-03,1.000196e-02
1.642043e+01,6.130852e+00,4.684876e-01,4.743073e-01,4.743225e-01,3.238069e+01,9.077754e-03,1.000089e-02
1.995262e+01,6.128989e+00,4.608163e-01,4.801898e-01,5.777752e-01,2.005550e+01,9.231682e-03,1.000000e-02
